Designator,Mid X,Mid Y,Layer,Rotation
ANT2,6.8250mm,3.5625mm,Top,270
D13,1.7000mm,36.3000mm,Top,90
P2,2.2000mm,4.9000mm,Bottom,90
P1,32.0000mm,4.9000mm,Bottom,90
Q8,30.1898mm,25.7500mm,Bottom,180
Q9,26.7000mm,30.0500mm,Bottom,90
J1,17.1000mm,36.4000mm,Bottom,180
R20,25.0000mm,26.9000mm,Bottom,270
R21,23.5000mm,26.9000mm,Bottom,270
Q10,23.5000mm,30.0500mm,Bottom,90
LED1,2.7000mm,27.5000mm,Top,180
LED2,2.7250mm,31.3250mm,Top,180
R17,6.7000mm,15.7250mm,Bottom,270
R16,8.3750mm,18.6000mm,Bottom,0
R15,2.3000mm,13.1000mm,Top,90
D12,4.1000mm,16.5200mm,Top,270
D11,2.9000mm,16.5200mm,Top,270
D10,3.5000mm,12.9800mm,Top,90
D9,8.3200mm,17.1000mm,Bottom,0
J2,30.6350mm,19.4700mm,Top,90
D1,30.1800mm,32.5000mm,Top,0
R13,12.1250mm,20.0000mm,Bottom,180
D2,1.7000mm,36.3000mm,Bottom,90
D6,32.7000mm,18.2000mm,Bottom,0
D4,28.3800mm,17.8000mm,Bottom,180
D3,28.3800mm,20.0400mm,Bottom,180
D8,32.7200mm,20.8000mm,Bottom,0
D7,32.7200mm,19.5000mm,Bottom,0
D5,27.5000mm,15.5795mm,Bottom,270
R14,1.3000mm,13.1000mm,Top,90
U1,3.6000mm,14.8000mm,Bottom,90
R12,10.1750mm,32.6000mm,Bottom,180
R11,10.2000mm,27.5000mm,Bottom,0
R10,13.4750mm,32.6000mm,Bottom,180
Q6,10.2000mm,30.0500mm,Bottom,90
Q5,13.5000mm,30.0500mm,Bottom,90
Q4,16.8000mm,30.0500mm,Bottom,90
ANT1,21.3000mm,3.5625mm,Top,270
C2,12.8000mm,9.6000mm,Bottom,0
C8,9.8000mm,6.1300mm,Bottom,90
IC1,16.0200mm,19.2000mm,Top,180
R19,32.5000mm,25.5000mm,Bottom,90
R18,32.5000mm,29.1000mm,Bottom,90
R9,13.5000mm,27.5000mm,Bottom,0
R8,16.7750mm,32.6000mm,Bottom,180
R7,16.8000mm,27.5000mm,Bottom,0
R6,20.1750mm,32.6000mm,Bottom,180
R5,20.2000mm,27.5000mm,Bottom,0
R4,26.7000mm,32.8000mm,Bottom,180
R3,5.2000mm,22.2500mm,Bottom,90
R2,23.5000mm,32.8000mm,Bottom,180
R1,5.1000mm,25.7000mm,Bottom,90
Q7,30.1898mm,29.1500mm,Bottom,180
Q3,20.2000mm,30.0500mm,Bottom,90
Q2,2.8000mm,22.2500mm,Bottom,180
Q1,2.8000mm,25.7000mm,Bottom,180
C14,27.5000mm,24.9000mm,Bottom,90
C13,27.5000mm,27.1000mm,Bottom,90
C12,9.0700mm,15.0000mm,Bottom,180
C11,9.0700mm,12.8000mm,Bottom,180
C10,9.0700mm,13.9000mm,Bottom,180
C9,9.0700mm,16.1000mm,Bottom,180
C7,11.0000mm,6.1300mm,Bottom,90
C6,12.2000mm,6.0900mm,Bottom,90
C1,3.2000mm,30.0000mm,Bottom,180
C5,8.2000mm,27.3700mm,Bottom,90
C4,4.5700mm,28.1000mm,Bottom,0
C3,7.8000mm,29.7100mm,Bottom,270
